,Query,Target,Stance
2292,"The boy will have an intense interest in other men and will be captivated by aspects of the male that he considers valuable qualities to possess. He will set the course of his life on qualities that he admires in his ""heroes."" ""The"" thing ""will happen to every boy as you go through the puberty period, which will make you wonder if you are gay. You should know that this is a normal phase of development that every boy goes through. If you don't have a clear understanding of this fact, you can mistakenly convince yourself that you are gay. ",Homosexuality,0
2293,Cow's milk is a foreign substance that has penetrated every corner of our diet... there is no doubt today that early and frequent consumption of dairy products leads to a significant increase in the incidence of childhood diabetes. ,Milk,1
2294,Alternative energy sources can be a satisfactory substitute for fuel if we put as much effort and ingenuity into building the first atomic bomb. ,Alternative Energy,1
2295,"If it costs me politically, it costs me politically... nothing is easy... I also remember the victims, and the reason I support the death penalty is that it saves lives. That's why I support it, and the people of my state support it, too. ",Death Penalty,1
2296,"The exemption provision calls on the federal government to make payments to the state at least as comprehensive and affordable as the Affordable Care Act would make available to at least the same number of people as under the law, and not impose additional costs on the federal government. ",Obamacare,0
2297,Anti-doping in sport requires a commitment by all to ethical practices and fair play standards. It requires consistent and responsible decision-making and sanctions against participants who are found guilty of doping offensible. the basic principle of information and education programs must be to protect the spirit of sport... from being undermined by doping and to create an environment that influences the behavior and behavior of participants without doping. ,Performance Enhancing Drugs,0
2298,"The truth is that Democrats voted for the felony provision, and a majority of homeowners (including me) voted against it. Right now, illegal presence in the US is not a crime; it's a civil offense. ",Immigration,1
2299,"A careful study of the full life cycle of nuclear power shows that nuclear power is a dirty, dangerous, and expensive form of energy that poses a serious threat to human health, national security, and taxpayers... a huge amount of radioactive waste is generated each year in the process of nuclear fuel production, including 2,000 metric tons of high-level radioactive waste and 12 million cubic feet of low-level radioactive waste in the US. ",Alternative Energy,1
2300,"Our sociological knowledge of crime is fragmented and ineffective in challenging and correcting misconceptions about, for example, immigration and crime. ",Immigration,0
2301,"According to a blog post by billionaire Dallas Mavericks owner Cuban, you hire people because you need them. [17] In a survey of 53 prominent American economists, 65% said that lack of demand was the main reason why employers did not hire new employees, compared to 27% who said that uncertainty about corporate taxation was the main reason. [18] A study by the Congressional Budget Office found that cutting corporate taxes did not create much incentive for them [businesses] to hire more workers to produce more because production depended on their ability to sell their products. [52] The Roseville Institute, a new think tank based in York, said that cutting corporate taxes only increased the incentive for them to do so. ",Lower Corporate Taxes,0
2302,"There is no need for a civilized society to tolerate gun-related violence, which Americans seem to perceive as a threat. ",Gun Control,0
2303,"Solar energy provides more utility than energy efficiency, which is limited to reducing energy consumption (even if it is the cheapest resource). Solar energy provides more opportunities than large-scale renewable energy, which can at best reduce pollution and sell energy completely. Decentralized solar energy is democratic, because it provides both political and economic power, allowing people, individually and collectively, to challenge the monopoly of utilities over energy supply. ",Solar Power,1
2304,"As the global coordinator of the fight against doping in sport, wada emphasizes the importance of accurate and reliable tests as a basis for the acceptance of results worldwide by laboratories accredited by wada, thereby increasing international confidence in fair play. Wada has developed a robust accreditation program and is actively cooperating with the global accreditation community and intergovernmental organizations such as ilac [international cooperation on laboratory accreditation] and bipm [international cooperation on weighing and measures] to enhance the uniformity of performance-enhancing substances and methods worldwide... the wada laboratory accreditation program is an integral part of the global task of wada in the fight against doping and represents a complex multi-step process of continuous compliance monitoring. ",Performance Enhancing Drugs,1
2305,"At a time when thousands of people are losing their health insurance every day, when health care is increasingly available even to well-off Americans, and when everyone is just one pink step away from becoming uninsured, it is clear that health care for all is not just important, but immutable. ",Universal Health Care,1
2306,"Innocent victims continue to die at the hands of private individuals authorized to carry a concealed handgun... concealed handgun holders have been responsible for at least 928 non-self-defense deaths since 2007, including 31 mass shootings that killed 147 people... the results of [our study] are consistent with recent scientific research showing that state laws permitting concealed handgun use in public places do not improve public safety - in fact, they do the opposite. """,Guns,0
2307,Federal law requires local and state authorities to share information about illegal immigrants in their custody with federal immigration authorities 100 percent of the time. ,Sanctuary Jurisdictions,1
2308,"The benefits of having a will: if your agent must decide whether to refuse or refuse medical treatment to allow you to die, your living will can convince your agent that he or she is following your wishes. ",Euthanasia,0
2309,"The Library of Congress has archived all public tweets since its inception in 2006. [267] For example, information about a novel posted on Facebook can lead to and be used against someone in divorce proceedings, because information posted thereafter can never be completely deleted. 81% of members of the American Academy of Marriage Lawyers (aaml) said they saw an increase in the use of social media as evidence in divorce proceedings, with Facebook cited as the primary source in 66% of divorce cases. [268] read more ",Social Media,0
2310,"According to the international community, protecting the rights of sex workers requires not only repealing laws that criminalize the sale of sexual services, but also repealing those that criminalize the purchase of sexual services from consenting adults or the organization of sex work... the fact that various aspects of sex work are criminalized in many countries means that sex workers cannot rely on political support or protection. For many sex workers, reporting crimes committed in the course of their work means exposing themselves to criminalization and / or punishment on the basis of their involvement in sex work, confiscation of their earnings, and the potential loss of their lives through appropriate sanctions and / or police control over their clients. ",Prostitution,0
2311,"Without them, policymakers would have to rely on tests taken by individual schools and teachers who are interested in getting positive results. Multiple choice tests, in particular, are machine-driven and therefore not subject to human subjectivity or bias. [55] read more ",Standardized Tests,0
2312,"According to the National Cancer Institute, there was no increase in the incidence of brain or other nervous system cancer between 1987 and 2005, despite the fact that cell phone use increased dramatically in the same years. [6] There was no significant change in the incidence of brain tumors between 2004 and 2010. [44] Between 2004 and 2010, there was a slight increase, from 209 cases to 221.8 cases per 100,000 people, but this slight increase was due to improved case tracking and reporting. [43] Over the same period, cell phone use increased by 62.7%, from 182,143,362 subscribers in 2004 to 296,285,629 subscribers in 2010. [44] ",Cell Phone,1
2313,"Elevated levels of same-sex orientation were found in the uncles and sons of these subjects, but not in their fathers or paternal relatives, suggesting possible gender-related transmission in part of the family. ",Sexuality is Genetic,0
2314,"It is normal in the biological sense that this distinctive beneficial behavior, which has evolved as an important element of human social organization, may be the genetic carrier of some rare altruistic impulses of mankind. """,Changing Sexual Orientation,1
2315,"The latter scenario clearly shows that he will lie to protect himself under pressure, hiding behind a memory loophole. This scenario seriously damages any characterization of him as a role model for characterization. in the end, while conservatives try to present him as a paragon of virtue, the lies, corruption, and scandals that surrounded him were significant... he failed to reach the level of mythology of his followers and in many respects failed to rise to the standards set by his role models, including the Francophone ones. """,Ronald Reagan,0
2316,"Health centers play a key role in providing life-saving health services to 20 million Americans from all walks of life. They lift both rural and urban neighborhoods by expanding community-based, patient-centered care to those who need it most. ",Obamacare,0
2317,"As a result, according to a parliamentary report prepared a few years ago, there are now ""informal tolerance zones"" in most major cities. Unfortunately, such zones force street traders to work in the most dangerous conditions: alone, on dark, deserted streets... the red-light district of Amsterdam is completely different... in the red-light district of Amsterdam, the police are so ""in the middle"" that they probably know more about its streets than any other part of the city. ",Prostitution,1
2318,"The Democrats don't support the wall [on the border], and I think the people of the border states don't support the wall... the wall, in my opinion, is immoral, expensive, [and] unreasonable... the president talks about how high it is, who pays for it, and everything else... but you have to understand that part of the country. ",Immigration,1
2319,"We say in the Hawa (Voting Assistance Act 2002) that every voter should have the right to check his or her ballot before voting... but all or most of the legislation that has been introduced precludes the disabled from having the same right. By insisting on paper, we deny people who cannot read because they cannot see, or for other reasons cannot manually control the system, the chance to check what they have done... blind people cannot check their choices with a piece of paper alone or in private. ",Voter Verified Paper Audit Trails,1
2320,"- Discussing the need to see a doctor may take some time, thanks to Obama-care... by expanding coverage and thus the demand for care, Obama-care actually exacerbated the existing shortage of primary-care physicians, making it more difficult for many Americans to obtain high-quality health care... from 2013 to 2014, the law increased the number of low-income patients covered by Medicare and children by more than 9 million. As of March 2015, 8.8 million people had purchased insurance through care.gov and 2.9 million had purchased it through government exchanges. ",Obamacare,0
2321,"As horrible as the act they committed, I believe that everyone has the potential to improve and correct it. So I am optimistic that it is still possible to deter criminal activity and prevent such harmful consequences in society without resorting to the death penalty. ",Death Penalty,0
2322,"A survey of high school students in Quebec found that 59% believe that they have too much domestic work. [24] 43% of respondents said that domestic work is their biggest source of stress, and 82% agreed that they are often or always stressed by school work. [28] The American Educational Research Association says that whenever domestic work displaces social experience, outdoor recreation, and creative activities, and whenever it takes up time that should be devoted to sleep, it does not meet the basic needs of children and adolescents. [27] High-achieving high-school students say that the amount of domestic work they have to do leads to poor sleep and other health problems, such as dizziness, exhaustion, weight loss, and depression. ",Homework,0
2323,"In terms of design, researchers have shown, and experience has confirmed, that electronic voting machines do not meet reasonable expectations of correctness, accessibility, convenience, and ritual. ",Voting Machines,0
2324,"They contain no fiber or complex carbohydrates and are saturated in saturated fat and cholesterol. They are contaminated with cow's blood and pus and are often contaminated with pesticides, hormones and antibiotics. ",Milk,0
2325,"Incitement to murder is an imperfect indicator of the number of murders committed (illegal alientes may be arrested more often, have less competent lawyers, etc.), but it is difficult to argue that illegal alientes are more law-abiding than legal residents - at least when it comes to major offenses. ",Immigration,0
2326,"To support the audit trail, [avc edge] stores an unaltered and easy-to-print electronic record of all votes cast, both inside the unit and on a removable cartridge for use in tabulating the results. ",Voting Machines,0
2327,"Bottled water is essential to public health - if tap water is not potable, bottled water is a necessary cement. [46] In April 2014, officials in Flint changed the flow of water from the lake to the Flint River. [29] Flint River water is highly corrosive - it erodes the water pipes that carry tap water to residents ""homes, leaching iron and lead, poisoning those who drank and bathed in it. [29] ",Bottled Water,1
2328,"For starters, there are several tests, and none of them can cover the full range of drugs and athletes, from anabolic steroids to epo to human growth hormones... in a sense, you can understand why athletes might want to take dope: a split-second advantage can make the difference between winning and losing, and it costs a lot of money for everyone... you might think, ""Well, let's just give up on why we don't let everyone use dope,"" but that's definitely not the best option. ",Performance Enhancing Drugs,1
2329,"The death penalty saves lives? [t] he death penalty - at least as it is applied in the US - is so rare that the number of homicides it can cause or deter cannot be reliably separated from the large annual changes in homicides caused by other factors. Thus, short samples and specific specifications can produce large but misleading correlations. We have concluded that existing estimates seem to reflect a small and unrepresentative sample of estimates that are based on alternative approaches. Deepening from a wider universe of possible approaches implies... reasonable doubts about whether there is any deterrent effect of the death penalty... there are serious questions about whether any useful lessons can ever be learned about the deterrent value of the death penalty from... the data that are likely to be available. ",Death Penalty,1
2330,"Members of vulnerable groups, such as the poor, less educated, or racial minorities, have shown little interest in this end-of-life care option. ",Euthanasia,0
2331,"Today, the dirty little secret of sport is drugs, and it is high time to make them legal. Performance-enhancing drugs may not be banned, but they are here to try to get rid of the hypocrisy. Insiders know that many - perhaps most - leading players in all sports take drugs to train hard and not feel pain during the game. Coaches, sports doctors, nutritionists, and big-name managers make sure that banned substances are taken at the highest and most effective level, and when possible, governing bodies look the other way... the main consequence of using such substances has been to turn performers and their coaches into liars and cheaters. ",Performance Enhancing Drugs,0
2332,"In order to use labor laws to protect women in the sex industry, the legal status of prostitution and its consequences - keeping brothels, pimping, soliciting, paying for sex - must be reconsidered. ",Prostitution,0
2333,"Whereas charities are required to report their income and financial structure to the state through form 990 (the return of an organization exempt from income tax), churches are automatically exempt from federal income tax without having to file a tax return. [1] read more ",Separation of Church and State,1
2334,"We have adopted, so to speak, a second bill of rights, under which a new framework of security and prosperity can be created for all, regardless of place of residence, race or religion. These include... the right to adequate health care and the opportunity to achieve and enjoy good health; the right to adequate protection against economic fears of old age, disease, accidents, and unemployment... all of these rights mean a ritual. ",Universal Health Care,1
2335,"With homogenization, milk becomes a very powerful and effective way to bipassify normal dietary processes and deliver steroid and protein hormones to the human body (both your hormones and the cow's natural hormones and those injected into them to produce more milk). As a result of homogenization, fat molecules in milk become ""capsules"" for substances that normally die in the stomach or gut, and are not broken down, but absorbed into the bloodstream... homogenized milk with added hormones is rocket fuel for cancer. ",Milk,1
2336,"There are three crimes for which the death penalty is justified: (a) in cases of unjust and proven murder, life imprisonment; (b) adultery (zina) committed by a married man, to which he or she confessed four times, or if the act was witnessed by four people; and expulsion from Islam after he or she voluntarily accepted it by declaring an open rebellion against Islam that threatens the welfare of the Muslim community... the emphasis in Islam is not on the punishment itself, but on the correction of the criminal, and on reminding those who witness the punishment. ",Death Penalty,0
2337,"These nutrients include calcium, potassium, vitamin D, and protein. ",Milk,1
2338,Congress believes that the right of citizens of the United States to vote is a fundamental right. ,Voting is a Privilege,1
2339,"Natural changes in solar activity cannot explain the global warming of the 20th century. [26] Another 2013 study of the natural geosphere found that solar activity could not contribute more than 10% of observed global warming during the 20th century. [27] Studies in the upper atmosphere between 1979 and 2009 show that solar energy increased and decreased in cycles without a net increase. [28] According to a 2013 report, there is a high degree of confidence (8 out of 10) that changes in solar radiation could not have increased the temperature of the Earth's surface in 1986-2008. [29] Although warming occurs in the lower atmosphere (troposphere), the upper atmosphere (stratterere) is actually cooling. [103] ",Humans Cause Climate Change,1
2340,"Two other peer-reviewed studies also showed that cell phone users had a slightly higher risk of developing brain tumors. A July 20, 2005, study found a lower risk of high-grade glioma, a malignant brain tumor, and a 2005 study in Sweden also found a higher risk of glioma, another type of brain tumor. ",Cell Phone,0
2341,"The climate has changed since the formation of the Earth - about 4.5 billion years ago. Climate change on every time scale - be it decades, centuries, or millennia - the climate of the green land was warm enough to reproduce around 1100, but by then the small ice age had displaced northern settlers... but none of the climate change in the past has been caused by humanity... very little warming in the last few centuries has also been caused mainly by non-human causes... yes, carbon dioxide is a greenhouse gas, but far less important than the main greenhouse gas, water vapor, h2o, and clouds. ",Humans Cause Climate Change,0
2342,"Oxford University researchers Carl Benedict, Fd., and Michael Osborne, dphil, stated in a 2013 study that robots already perform many simple service tasks, such as cleaning, washing, cutting, and chewing gum, and that commercial service robots are now capable of performing more complex tasks in cooking, health care, commercial cleaning, and elderly care. ",Minimum Wage Increase,0
2343,"Although the planet has warmed by 1-1.4 ° F over the 20th century, it has warmed within + / - 5 ° F over the last 3,000 years. [114] A 2003 study by researchers at the Harvard-Tsonian Center for Astrophysics found that many records show that the 20th century is probably neither the warmest nor the most extreme climatic period of the last millennium. [115] A 2005 study published in Nature found that high temperatures - similar to those seen in the early 20th century prior to 1990 - occurred in about 1,000-1,100 years in the northern hemisphere. [116] ",Humans Cause Climate Change,1
2344,"There is no rot in milk. All milk, including human breast milk, naturally contains somatic (white) cells, which are critical for fighting infection and ensuring good nutrition. ",Milk,1
2345,"The gold standard has long made sense for Ozika, but not today. Its proponents want to turn back the clock to the ""roaring 20s,"" but the economic growth of that decade had little to do with the gold standard, and it ended for Ozika. Ozika has not adhered to the gold standard for 40 years, and many of its provisions have been forgotten. There are excellent reasons why it was rejected by right-wingers like Milton Hedman... many economists believe that adopting the gold standard could reduce the money supply by about half. ",Gold Standard Currency,0
2346,"Simply put, members of Congress should meet the same standards as the general public, and should not be able to benefit from non-public information... as members of Congress, we have access to information that the public does not have; classified reports, closed conference records, and personal conversations with government officials. ",Congressional Insider Trading,0
2347,"The current system for delivering oil is highly efficient and effective, and the cost of replacing it quickly with alternative fuels would be prohibitive. ",Alternative Energy,1
2348,"The Bill of Rights outlines a number of fundamental rights that individuals have by nature and that the government should not bestow. Free health care is not one of them... if someone is poor, we do not let them die on the sidewalk outside the hospice. We will treat that person, as we shouted, we will even send an ambulance to get them. ",Universal Health Care,1
2349,"They point to a tiny group of sex workers who can actually be involved at will. They selectively read history to find some tiny minority, somewhere, at some point, who have acquired something in the sex industry. ",Prostitution,1
2350,"We have this conversation with many different types of media at different points in history... I'm sure there will be some point in the future when people will say, ""Oh, this man played video games"" and everyone will say, ""So what?,"" that's clearly not the case. Reading Superman didn't do that, the Call of Duty game probably wasn't the only thing going on here. ",Video Games,0
2351,"Milk contains a complete set of nine essential nutrients. In addition to being an excellent source of calcium and vitamin D, it is also a good source of vitamin A, protein, and potassium. ",Milk,1
2352,"As I have said many times, our borders are not open to illegal migration; if you come here illegally, we will send you back in accordance with our laws and values... it should not be surprising. I have said publicly for months that those who prioritize law enforcement, including families and unaccompanied children, will be expelled... I know that there are many who loudly denounce our law enforcement efforts as being too harsh, while others will say that these actions do not go far. I also recognize the reality of the pain that deportations cause, but we must apply the law according to our priorities. ",Immigration,0
2353,"Contrary to public perception, tenure does not guarantee a teacher a job for life. ",Tenured Teachers,0
2354,"Just last week, my exchange insurer told me that they would not cover the drug. ",Health Insurance Exchanges,0
2355,"In 2003, President Carter tried to normalize relations with Cuba by opening a de facto embassy in Havana in response to Cuba's repression of political dissidents. [4] In 2009, President Obama relaxed the policy of travel to Cuba to visit family members. [8] In the same year, the Cuban government arrested a humanitarian worker and sentenced him to 15 years in prison, and he was released only in 2014. [9] ",US Embargo Against Cuba,0
2356,"Even more telling is the fact that the world's most ardent proponents of this argument once predicted that world oil production would peak in 1989, but since then global crude oil production has increased by more than 23 percent and oil supply (crude oil and other petroleum) has increased by more than 28 percent. ",Oil Production at its Peak,1
2357,"Technological innovation is present in all sports, and at all levels... for example, swimmers now use full-body suits made of material that miniaturizes freestyle with water... sports shoes with spikes are also a standard problem today. ",Performance Enhancing Drugs,1
2358,The process involves heating milk to a high temperature for a certain period of time and then immediately cooling it. The production and sale of non-patyrized [raw] dairy products poses a risk of pathogenic infection. ,Raw Milk,1
2359,"i hate social media... you can't do anything. you can't get away with anything. not that's what i'm trying to do, but you're burned all the time. it's not just about me. i watch it happen to other people and it scares me... people can say whatever they want and the best part is it doesn't have to be true. there's no responsibility that they have to take, there's no integrity.... it's blog. people can write whatever they want about you. sometimes it can be immense and you can think to yourself, ""well, no one will believe that."" ",Social Media,1
2360,"Wearing a uniform is a sign of pride, creates identity for the school and is an important part of being a schoolboy... school uniforms teach students to dress smartly and take pride in their appearance... perhaps most importantly, uniforms mean that students don't have to worry about peer pressure when it comes to their dress. ",School Uniforms,1
2361,The arguments against the wada system do not seem strong enough to reject it. ,WADA Whereabouts Rule,0
2362,"According to a 2000 analysis of gun crime data by the economist and political commentator Jeremy Lott Jr. in states with concealed carry laws, 1,570 homicides, 4,177 rapes, 60,000 gun assaults, and 12,000 robberies could have been prevented between 1977 and 1992 if concealed carry had been legal in every state during that period. ",Guns,1
2363,"Add these two trillion barrels to the 1.2 trillion barrels of current proven reserves and 1.5 trillion barrels of oil that can be extrapolated from unconventional oil with modern technology, and we are looking at more than four and a half trillion barrels of potentially recoverable oil. ",Oil Production at its Peak,1
2364,"It is an inescapable fact that our judicial system, like the human courts that administer it, is flawed, but history is full of examples of wrongfully convicted persons who have been pardoned after evidence proving their innocence has been found... recent power confirms that clementarism has often been used in death penalty cases where claims of ""factual innocence"" have been made... history shows that the traditional remake of claims of innocence based on new evidence discovered too late to file a new motion for trial was an exercise of executive clemency. ",Clemency is a Safeguard in Capital Punishment Cases,0
2365,"Americans are among the most religious people in the world, especially compared to people in other highly industrialized democracies. But they have no right to impose their atheism on all those whose beliefs today and historically define America as a religious nation. ",Religious Undertones In Education,0
2366,"We know that women have abortions for many reasons. Even when we talk about abortion, we can agree that these are personal decisions that we should all be able to make based on our own circumstances, beliefs, and values. We must respect and support a woman and her family when they face a life-changing decision about whether or not to have a child - this is not my place or the place of our government to make such an important life decision for someone else... we all care about life and doing everything possible for the people we love. When we bring children into the world, we want them to have the opportunity to live a good life, and we want to build a better future for our children and our grandchildren. ",Abortion,0
2367,Border patrol simply cannot do its job under the current restrictions. ,Immigration,0
2368,"Just one 8-ounce serving of milk puts you on your way to achieving a daily allowance (recommended for those on a 2,000-calorie diet) for calcium, riboflavin, and other key nutrients... The protein in milk is of high quality, meaning that it contains all the essential amino acids or ""building blocks"" of protein. ",Milk,1
2369,"Too many states use unreliable and unreliable electronic voting machines, and many states have compounded their situation by adding some forms of online voting for some voters that cannot be verified at all. ",Voting Machines,0
2370,"Allowing the use of performance enhancers would make the sport safer, as there would be less pressure on athletes to accept unsafe enhancers and to make existing enhancers more effective at safe doses... the abolition of doping controls would have greater benefits: less cheating, more trust and respect among athletes, more attention to the sport rather than the rules. [i] ",Performance Enhancing Drugs,1
2371,"- In the first two quarters of 2014, 6.1 million people were added to Medicaid. An additional 2.5 million people have signed up for private health insurance during this time, but the new plans available on Obamacare exchanges - while the ""technical"" private plans - look and function more like ""Medicaid"" plans with limited networks, low physical costs, and high public spending... Obamacare has significantly increased public health spending, and as a result, more people have low-quality health plans... instead of changing the private market to look more like a low-quality government program, we should have gone in the opposite direction, encouraging reforms to Medicaid and our entire health-care system to promote greater competition and choice so that everyone can buy quality, affordable, reliable health insurance. ",Obamacare,0
2372,"Reliance on the governor's sense of professional responsibility to ensure the proper application of the principle of reasonableness is a failure... unfortunately, the reasonableness process is fraught with political overtones. The petitioning process must be restructured if miscarriages of justice are to be prevented... consideration of the principle of reasonableness must be a meaningful review. ",Clemency is a Safeguard in Capital Punishment Cases,0
2373,Teacher retention creates incentives for teachers to invest more than a minimum of effort and focus on improving teaching. [8] Read more ,Tenured Teachers,0
2374,"Moreover, the price difference between wind and conventional power generation is actually larger, because the federal government subsidizes wind energy with a production tax credit of 1.8 cents per kWh... because wind is an intermediate resource, wind farms must rely on conventional power plants to maintain their supply. Wind farms produce electricity only when wind is blowing in a certain range of speeds; when wind is too small, point farms do not produce electricity; but when wind is too strong, they must be shut down for fear of being blown down, and even when they are operating properly, the average capacity of wind farms is less than 30 percent of their theoretical capacity. ",Alternative Energy,1
2375,"Lifting the embargo will put pressure on Cuba to address the problems it has previously blamed on sanctions. Cuban officials have not been forced to take responsibility for problems such as an inefficient health-care system, lack of access to medicines, the decline of the sugar industry, dilapidated plumbing systems, and water pollution, because they use the embargo as a scapegoat. ",US Embargo Against Cuba,0
2376,"As with unflavored cow's milk, flavored cow's milk is a significant source of fat, saturated fat, and cholesterol in children's diets. Natural sugar in cow's milk is a delicacy, a type of sugar that is poorly absorbed by many children after about one year. ",Milk,0
2377,"Some, but not all, cases of childhood obesity are characterized by increased tissue resistance to insulin, increased mechanical stress on the joints, and impaired cardiovascular function. they can manifest themselves as abnormal glucose tolerance, dyslipidemia, varying degrees of hypertension, orthopedic complications, and early atherogens. ",Obesity is a Disease,0
2378,"In today's world of palliative medicine, physical suffering at the end of life is often avoidable, but there is another type of suffering that I think is even worse. It is called presentiment suffering, and it includes the depression and anxiety that accompany the fear of death and the fear of what is considered to be the inevitable suffering that comes with the end of life. ",Euthanasia,0
2379,"Only in a regulated system can the government ensure that marijuana is tested for dangerous pesticides and contaminants. Regulation also allows for the protection of the environment and workers: when marijuana is banned, it is often grown in environmentally sensitive places, where streams are diverted, toxic waste is left behind, and illegal predators - including endangered animals - enter the food chain. ",Marijuana,0
2380,"Children can put themselves in danger without understanding the public and viral nature of social media. [122] A 2012 film project about an uncontrolled high school party triggered copycat parties around the world, leading to arrests for vandalism, criminal harassment, and other offenses. [122] Up to 600 riot police had to be called to break up a birthday party for a teenager to which some 30,000 people were accidentally invited after a Facebook post that was considered private went viral. [124] ",Social Media,0
2381,"One study based on a change in education policy has shown that even when dismissal rules are relaxed, many teachers still prefer not to fire anyone - including in the worst schools - perhaps in part because of the problem of finding decent jobs... weakening job security in the absence of other reforms may even deter good people from joining or retaining the profession. ",Tenured Teachers,1
2382,"Chimpanzees share 99% of their bottom with humans, and misfits are 98% genetically similar to humans. [9] All mammals, including humans, are descended from common ancestors, and all have the same set of organs (heart, kidneys, gibbles, etc.) that function essentially the same through blood flow and the central nervous system. [17] Because animals and humans are so biologically similar, they are resistant to many of the same conditions and diseases, including heart disease, cancer, and diabetes. [18] ",Experimenting on Animals,0
2383,"From a public health, fiscal, or moral perspective, there is no point in prosecuting and stigmatizing adults who choose to use a substance that is safer than alcohol or tobacco... but legalization does not mean replacing criminalization with free marijuana for all. Rather, it means adopting a pragmatic regulatory framework that allows the commercial production and retail sale of marijuana to adults, but also the use of marijuana by young people. ",Marijuana,1
2384,"According to James Heck, a senior policy analyst at the Heritage Foundation, a single mother who works full-time and receives the federal minimum wage of $7.25 an hour would be worse off if the minimum wage were raised to $10.10: while her market income rises by $494, she loses $71 in EIC [earned income tax] refunds, pays $37 more in payroll taxes and $45 more in state income tax. She also loses $88 in food stamps and $528 in childcare subsidies. [77] ",Minimum Wage Increase,0
2385,"While anti-prostitution laws have done little to stop the burgeoning recreational sex industry, they impose a high price on public health and education. Although violence is not an integral part of the sex trade... many sex workers are afraid to be arrested if they report violent clients or exploitative pimps. ",Prostitution,1
2386,"Our approach to health care is shaped by the simple but fundamental principle that ""everyone has the right to adequate health."" This right derives from the sanctity of human life and dignity, which belongs to all people created in the image of God. ""Health care is more than just a right; it is a basic human right, an essential guarantee of human life and dignity. We believe that the health of our people should not depend on where they work, how much their parents earn, or where they live. ",Universal Health Care,1
2387,"We must act now, and we must act boldly, to ensure that, while working in the best interests of the environment, we work in the best interests of our citizens, who pay more for gas and energy than ever before, and that there is no end in sight... for this senator, it means expanding opportunities for better carbon sequestration naturally and empowering the nuclear power business to ensure that the only source of reliable, safe, carbon-free energy that we know today in the United States of America is empowered for the twenty-first century. ",Alternative Energy,1
2388,"The fact is that we have not seen evidence of a slippery slope, and there is no good reason to believe that experience on this front will be any different in the future. ",Euthanasia,0
2389,His policies helped schools and libraries introduce computers and the Internet to people who would not otherwise have access to them. [20] ,Bill Clinton,0
2390,"[ h] y energy, solar energy, wind energy, ocean energy, or geothermal renewable energy in a sustainable way. Add energy from unsustainably managed biomass and organic waste to the list of renewables. Once oil and uranium are depleted, energy must come from these sources. ",Alternative Energy,0
2391,Lombard 21 will reduce the number of minors who suffer alcohol-related injuries or accidents due to fear of legal repercussions if they seek medical help. [7] read more ,Lower Drinking Age,0
2392,"Last week, the Senate rejected a provision in the bill establishing a ""renewable energy portfolio standard,"" which would require all investor-owned businesses (but not municipal systems and rural cooperatives) to obtain 2.75 percent of their energy from renewable sources by 2010 and 15 percent by 2022. ",Alternative Energy,0
2393,"... if obesity is indeed a disease, then more than 78 million adults and 12 million children in the world are simply classified as ill... everyone has friends and acquaintances who are currently classified as ill. Yet many sensible people, from physicists to philosophers, know that calling obesity a disease is a mistake. Simply put, obesity is not a risk factor for some people, but it would be as false to say that everyone who suffers from obesity is ill as it is to say that everyone of normal weight is healthy. """,Obesity is a Disease,0
2394,"In states that have marijuana dispensaries, the vast majority of ""patients"" are young people between the ages of 18 and 25, not cancer patients or victims of help used in ads for voters to exploit our compassionate nature... The ""medialization"" of this harmful substance has resulted in truly sick people rejecting proper medical care, thinking that because marijuana makes them feel better, they are getting better. ",Medical Marijuana,0
2395,"of the medical tests currently used to determine brain damage in humans have found harm from marijuana, even from long-term use of high doses... the claim that marijuana destroys brain cells is based on a speculative report dated a quarter-century ago, which has never been supported by any scientific research. """,Marijuana,1
2396,"Environment: Clinton's environmental policies included preserving 4.6 million acres of land in national monuments, strengthening the Safe Drinking Water Act, and enacting stricter emission and energy efficiency standards. ",Bill Clinton,0
2397,"Language under God may not establish a particular religion, but it segregates religions that believe in God, so it excludes those who do not have the same conviction. ",Religious Undertones In Education,0
2398,A 2010 study found that 97-98% of climate scientists most active in their field agree that human activity is primarily responsible for global climate change. [7] A 2013 survey of 944 peer-reviewed studies on climate change found that only 78 studies (0.7%) explicitly rejected the position that humans are responsible for global warming. [1] A separate review of 13950 peer-reviewed studies on climate change found only 24 that rejected anthropogenic global warming. [5] ,Humans Cause Climate Change,1
2399,Cell phone radiation levels are tested and certified to remain within the levels deemed safe by the Federal Communications Commission (fcc). ,Cell Phone,0
2400,"What we didn't know then was that the death penalty would become an industry that would benefit only lawyers and criminals, and no one else. ",Death Penalty,1
2401,"The ultimate goal of the law is to protect women engaged in prostitution, including by addressing the root causes of prostitution and trafficking: men who assume the right to buy and sexually exploit women's sexual services. We know from the Swedish experience that when buyers risk punishment, the number of men who buy prostitutes decreases, and local prostitution markets become less profitable... if more countries address the demand for prostitutes by criminalizing not only pimps and prostitutes, but also buyers, the expansion of the global prostitution industry will be seriously threatened. ",Prostitution,0
2402,"The hands of witnesses must be on him first to kill him, and then the hands of all the people. So, cast out evil from among you... and those who remain will hear and fear, and will no longer do such evil among you, and your eyes will not pity you; but life will go for life, eye for eye, tooth for tooth, hand for hand, foot for foot. ",Death Penalty,1
