,Query,Target,Stance
3297,"In any rational universe, it would be nobody's business to have a sexual experience with a consenting adult only if I pay that adult, and I am guilty of a crime and subject to arrest as are the sex workers who tend to my needs.",Prostitution,0
3298,"The local police would likely negatively effect and undermine the level of trust and cooperation between the local police and immigrant communities if the undocumented immigrant’s primary concern is that they will be deported or subject to an immigration investigation. Distrust and fear of contacting or assisting the police would also develop among legal immigrants. At this time local police officers are ill-equipped in terms of training, experience and resources to navigate the complex area of immigration enforcement. The Katy police department faced suits from these individuals an",Immigration,0
3299,"The [U.S. Supreme Court] affirmed the district court in 2000 in its case Alexander v Mineta, that our Constitution does not protect the right of all citizens to vote, but rather the right of all qualified citizens to vote.' As a result, voting is not a right, but a privilege granted or withheld at the discretion of local and state governments. The United States is one of just 11 nations among 120 or so constitutional democracies that fail to guarantee a right to vote in their",Voting is a Privilege,1
3300,"In a recent court case, we've seen several media stories suggesting that the electronic voting machine issue is partisan - although there are certainly folks who would like to portray it that way - including Jeb Bush and unfortunately last week, The Washington Post - it is not true and it's not true in terms of who should care about it. Electronic voting systems don't fail in any partisan way - just fail. And given the many ways that they can be cracked, no political party has a 'lock",Voting Machines,0
3301,"A clear increase in prescribing is being driven up by patients. If any [benefits] have been demonstrated, the dangers are quite clear. ""Momentarily, direct-to-consumer advertisements have little relationship to the public health needs. New and expensive drugs, those for diseases that are bothersome and incurable, are the ones that are advertised.",Prescription Drugs,0
3302,"Prostitution is officially acknowledged as a form of male sexual violence against women and children in Sweden. One of the foundations of Swedish policies against prostitution and human trafficking is the focus on the root cause, the recognition that without men's demand for and use of women and girls for sexual exploitation, the global prostitution industry would not flourish and expand. Prostitution is a serious problem that is not only harmful to the prostituted woman or child but also to society at large. Therefore prostituted women and children",Prostitution,1
3303,"Based on a neutral reading of the Patient Protection and Affordable Care Act and bi-partisan third party analysis, this question appears to have a clear and obvious Pro (yes) answer, and ProCon.org has therefore presented the responses in a single column with no opposing perspective.",Obamacare,1
3304,"Based on a neutral reading of the Patient Protection and Affordable Care Act and bipartisan third party analysis, this question seems to have a clear and obvious Pro (yes) answer. ProCon.org therefore has presented the responses in a single column with no opposing perspective.",Obamacare,0
3305,"The organization’s tireless attorneys and analysts have their hands full trying to keep one step ahead of Ashcroft and his editors of the Constitution,”",ACLU,1
3306,"For us to survive energy shortages, we need to expand our use of fossil fuels, nuclear energy, renewable energy and conservation greatly.",Alternative Energy,0
3307,"The Affordable Care Act provides consumers the right to appeal decisions made by their health insurer to an independent decision maker, regardless of the state of residence or type of health insurance. Non-grandfathered plans and issuers must comply with the state external review process or Federal external review process under interim final regulations issued earlier this year.",Obamacare,1
3308,Significant differences were found in the 2D:4D digit ratio between the HS [strictly heterosexual] and the NHS [not strictly heterosexual] women.,Sexual Orientation Connection With Finger Length,0
3309,"As a preliminary matter, we agree with the district court that Plaintiff’s claim of voter denial is cognizable under Section 2 of the VRA. Felon disenfranchisement is a voting qualification and Section 2 is clear that any voting qualification that denies citizens the right to vote in a discriminatory manner violates the VRA.",Voting Rights for Felons,1
3310,"It makes sense to require that certain minimum, objective standards of responsibility, loyalty and trustworthiness be met before individuals are allowed to participate in the sacred enterprise of self-government. Children, illegal immigrants, the mentally incapacitated and felons do not meet those standards. A three-year waiting period after serving a prison term is reasonable given that, according to a report by Harvard University Professor Richard Freeman, two-thirds of prisoners released are rearrested and one-half re-incarcerated within",Voting Rights for Felons,1
3311,"The sales of violent video games for the past 33 years were significantly higher while the violent juvenile crime rate in 2012 was 204% below 1980 levels and 63% below 1994, the peak year. [133][134][135][136][82][83] The percentage of high school students who had committed at least one violent crime reduced from 37% and murders by juveniles acting alone fell 76% in that same period.",Video Games,0
3312,"One last good consequence of legalizing euthanasia is that once death has been accepted, it is often more humane to end life quickly and peacefully when that is what the patient wants, and such a death will often be seen as better than a more prolonged one. People who suffer a sudden and unexpected death, for example by dying quickly or in their sleep from a heart attack or stroke are often considered lucky to have died this way.",Euthanasia,1
3313,"According to a peer-reviewed study in the Lancet, the right to health care is an internationally recognized human right. On December 10th, 1948, the United States and 47 other nations signed the UN Universal Declaration of Human Rights which stated that everyone should have access to health care services and should not suffer financial hardship when obtaining such services. [16] According to the Comparative Constitutions Project, as of April 2019 over 130 countries have a right to health care in their national constitutions.",Universal Health Care,1
3314,"A declaration in our pledge of allegiance that we are 'one nation under God' is not a preference of one theological teaching over another, or an official endorsement of one faith or group of beliefs...The text of the pledge of allegiance recognizes that self-evident truth, fully confirmed by American history, on behalf of the United States people.",Religious Undertones In Education,1
3315,"As chairman of the House Judiciary Committee, I have strongly advocated for immigration reform that focuses on enforcement and upholding the rule of law, including elimination of enforcement waivers that have been abused by previous and current administrations. I am opposed to amnesty and I do not support a special pathway to citizenship that rewards those who have broken our immigration laws.",Immigration,0
3316,"[Ronnie] will spend eternity in hell for his treachery... Reagan was one of the most deplorable Presidents... he was responsible for 500,000 American AIDS deaths and 10 million worldwide, while he catered to the right in this country and then disgraced America by going to Bitburg, Germany in August 1985, to honor the SS. Nazi murderers there buried there”.",Ronald Reagan,1
3317,"Thanks to the ACA and Medicaid expansion, 20 million more Americans now have health insurance—that's the population of the entire New York State... Thanks to the ACA, premiums are going up at the slowest rate in half a century—that's the population of the entire state of New York... and thanks to the ACA, you can't be discriminated against if you have a preexisting condition—even that preexisting condition known as being a woman. But things are better today, by some",Obamacare,0
3318,"In the same way, monetary policy needs some discipline to prevent government mismanagement from being the default mechanism of accumulation. A gold standard ensures that the money supply expands or contracts to an extent warranted by legitimate economic needs and growth prospects.",Gold Standard Currency,0
3319,"One needs to completely rid himself of the voracity for cash to see that prostitution can never be a legitimate business although legalized because it will always be associated with crime, corruption, class, mass sexual exploitation and human trafficking.",Prostitution,0
3320,"The lab [UCLA Olympic Analytical Laboratory] is one of the world's best facilities for analyzing biological samples from athletes to detect the use of banned substances like anabolic steroids, the blood-oxygen booster erythropoetin (EPO) and scores of other prohibited drugs that aid performance... Based in Montreal, WADA has a global chain of 33 laboratories like [Dr. Don] Catlin's lab to conduct doping tests. The facility has handled about 300,000 tests over the past",Performance Enhancing Drugs,0
3321,"I believe that a fraud-proof Social Security card, coupled with a computerized employment eligibility verification system and properly enforced employer sanctions, could be a critical part of the effort to curb illegal immigration... I have been pleased to work on H.R. 98, the 2005 Act on Illegal Immigration Enforcement and Social Security Protection... The bill would significantly increase civil and criminal penalties for employers who hire illegal immigrants or fail to verify [to know] their employment eligibility.",Immigration,1
3322,"From the first Ashcroft-Bush abridgements of the Constitution, the ACLU led the resistance. During the alleged congressional debate on the Ashcroft-Bush USA Patriot Act, the ACLU’s Washington staff, directed by Laura Murphy, worked 14-hour days to research the constitutional damage contained in each important detail of this mephitic bill. Alas, hardly any member of Congress seems to have read the subsequent press releases but some journalists have. When the Ashcroft Dragnet imprisoned over",ACLU,0
3323,"Some policies and proposals have been put forth to address the troubling profile of excessive alcohol use by young people, but a minimum legal drinking age of 21 is not one of them.",Lower Drinking Age,1
3324,"I analysed in detail 27 systematic reviews examining the contributions of animal experiments to human healthcare, whose results are remarkably consistent. “Animals have a plethora of genetic, biochemical and physiological differences that alter disease progression, drug uptake, distribution and effects, stressful environments and experiments are common and distort outcomes.",Experimenting on Animals,1
3325,"The 2011 Egyptian revolt (part of the Arab Spring) organized largely through social media, drew tens of thousands of protestors and eventually led to the resignation of Egyptian President Mubarak on 11 February 2011. [30][211] In 2015, the Black Lives Matter campaign addressed racism and police brutality in the United States and successfully pressured the 2016 presidential candidates to address the issue publicly.",Social Media,0
3326,"A vegetarian diet can help alleviate global hunger. Over 10 pounds of plant protein are used to produce 1 pound of beef protein. [24] If these grains were fed to humans instead of animals, more food would be available for 925 million people worldwide who suffer from chronic hunger. [105] Research from Cornell University found that the grain used to feed US livestock alone could feed 800 million people.",Vegetarianism,0
3327,"No talk of taking Iraq is premature until we finish the job given to us by Sept. 11. Saddam Hussein is an evil dictator, lacking any redeeming qualities, other than that no good evidence so far links him to the Sept. 11 attacks of Osama bin Laden and his terrorist organization. There is no question at whom all our focus and energy should be directed.",War in Iraq,1
3328,"In elections as in every other aspect of our lives, technology is an important tool to improve processes and increase efficiencies. The impact of technology in election administration is revolutionary and Maryland continues to be at the forefront in election reform and the use of technology to accomplish this goal...The November presidential election will be conducted in Maryland using the most secure voting system in the country. Maryland has led the nation in assessing the security of the Diebold AccuVote-TS [Electronic voting system].",Voting Machines,1
3329,"As long as the observer is limited to inspecting the self-declaration of identity of a piece of software, the use of'software fingerprints' computed by some cryptographically secure hash function does nothing to change that fact... Only when the observer can examine the computer memory and compare it with a reference memory image can the observer really know that what is in the computer and what is authorized to be there are the same, we compromise the author's right to retain this software as a trade secret",Voting Machines,0
3330,"Several recent news reports have shown that the short term benefits of marijuana for children with complications from chemotherapy, seizures and autism can cause more harm than good... [M]arijuana does cause changes in the same areas of the brain as other addictive drugs (in particular the nucleus accumbens), and people addicted to marijuana lose control of their drug use, as individuals addicted to other substances. Our society has learned the hard way that very promising therapies can ultimately cause more harm than good.",Medical Marijuana,0
3331,The decision [to strip Marion Jones of their Sydney Olympic Games relay teammates from their medals in 2000] was based on the fact that they were part of a team and that Marion Jones was disqualified from the Sydney Games due to her own admission that she was doping during those games...She was part of a team and competed with them in the finals.,Performance Enhancing Drugs,1
3332,"There is also no evidence that offenders are more likely than other groups to vote in a rebellious or subversive way... Like other people, offenders tend to vote more based on self-interest or a single issue than in the past.",Voting Rights for Felons,0
3333,"We agree that Israeli-Palestinian and Israeli-Arab peace is essential to Israel's security, well-being and viability as a Jewish state and a democratic society... We understand that the achievement of Israeli-Palestinian and Israeli-Arab peace will require the establishment of a sovereign state of Palestine living alongside Israel in peace and security, both within recognized borders... An agreement must enable and support the emergence of a state of Palestine that is maximally contiguous and politically and economically viable,",Two-State Solution,1
3334,One solution that makes a lot of sense to me would be to make oral contraception available to buy over the counter. Studies show that individuals can determine whether birth control pills are right for them and whether there are any health conditions that might make taking birth control pills less safe or less effective without a doctor’s advice.,Contraception,0
3335,"The National Baseball Hall of Fame has done a poor job acknowledging some of the top players in MLB history in recent years. Anyone who watched baseball during the ‘steroid era’ knows just how great these players are so the Hall of Fame ignoring their contributions to the game is wrong and completely ignoring history... The Hall of Fame should be about recognizing the achievements of the players, regardless of what it took for them to achieve it.",Performance Enhancing Drugs,0
3336,"The Affordable Care Act says that health plans cannot restrict or deny benefits for children younger than 19 simply because the child has a 'pre-existing condition' -- that is, a health problem or disability that your child developed before you were asked for coverage. The rule will affect your plan after it begins a plan year or policy year on or after September 23rd 2010.",Obamacare Coverage For Existing Conditions,0
3337,"From a psychological perspective, these violent video games encourage active participation in violence. For example, two teens in Tennessee who shot at passing cars and killed a driver told police they got the idea from playing Grand Theft Auto III. [23] A peer-reviewed study in 2015 found compelling evidence that the use of realistic controllers may boost the learning of the violent acts.",Video Games,0
3338,"The practice of prostitution is technically licensed for a period of many years by the [Phoenix] Police. The women from the'Redlight district are arraigned a month and invariably plead guilty. Those charged with operating a house of prostitution pay a fine of $25, and the city derives a substantial revenue from this source of approximately $20,000 a year. Prostitution is as old as history. It cannot be eliminated by law nor by law enforcement ",Prostitution,0
3339,For then the users of the enhancements are hurting themselves in the long run without improving their short-term rewards in athletic competition as long as competitors also use harmful enhancers. This is the main reason for trying to ban steroid and other forms of doping from athletic competitions.,Performance Enhancing Drugs,0
3340,"Although not harmless, it is surely less toxic than most conventional medicines it could replace if it were legally available ; despite its use by millions of people over thousands of years, cannabis has never caused an overdose death.",Medical Marijuana,1
3341,"A study published in the journal Science found that lie spreads six times faster than the truth on Twitter and that fake news is retweeted more often than true news. [269] A federal grand jury indictment by Special Counsel Robert Mueller found that even when false information is corrected, the number of people who see or share the correction is lower than the number who saw or shared the false information in the first place.",Social Media,1
3342,"We write today to ask that you and other appropriate state officials reconsider California’s policy on vaccine exemptions. While a small number of children can be vaccinated due to an underlying medical condition, we believe there should not be a philosophy or personal belief exemption since everyone uses public spaces.",Vaccines For Children,0
3343,"If the corporate tax rate is too high, businesses will move overseas. Before President Trump's corporate tax cut, the United States had one of the highest corporate tax rates in the world. [47] In 2016, Johnson Controls moved its headquarters abroad from Milwaukee, Wisconsin to Ireland to save the company about $150 million dollars in US taxes annually. The move retains maximum flexibility for our balance sheet and the ability to invest in growth opportunities around the world.",Lower Corporate Taxes,1
3344,"The Court in Roe cited a scholar's conclusion that the hippocratic oath 'emerged only in a group representing only a small segment of Greek opinion and that it certainly was not accepted by all ancient physicians' of the time.' The Court stressed the oath's rigidity and was not deterred by its prohibitory language regarding abortion. Were we to adhere to the rigid language of the oath today, not only would doctors be barred from performing",Euthanasia,0
3345,"For example, the Affordable Care Act (ACA) is frequently characterized by critics as a threat to the survival of employer-sponsored insurance. Medicaid expansion and Marketplace subsidies could negatively affect employers' incentives to offer health insurance and workers' incentives to take such offers. We found no evidence that any of these rates have declined under the ACA, and rather around 63 percent, 71 percent and 45 percent respectively.",Obamacare,1
3346,"In its most doctrinaire incarnation, this view demands that Justices discern exactly what the Framers thought of the question under consideration and simply follow that intention when resolving the case before them. But it is little more than arrogance in humility cloaked in the fact.",Religious Undertones in Education,1
3347,It is unlikely that delay at the polls will occur due to printers jamming and running out of paper or ink. Paper is successfully used in everyday point-of-sale transactions and high-reliability printers (that can contain enough supplies for election day) are available for voting applications. Poll workers need no more skill than convenience store employees to quickly add paper and ink from supply kits.,Voting Machines,1
3348,A minimum wage increase would hurt businesses and force companies to close. 60% of small business owners say that raising the minimum wage will hurt most small business owners if the federal minimum wage were raised to $15. [51] Forbes reported that an increase in the minimum wage has led to the closure of several Wal-Mart stores and the cancellation of promises already open stores.,Minimum Wage Increase,1
3349,"If we selectively confer benefits on religion we are doing as much harm to equality as if we disfavour some or all religions. If churches receive exemptions from taxes or zoning laws along with other socially desirable enterprises – say schools and community centers – that’s fine, but it is unjust to make churches the sole beneficiaries of such exemptions.",Separation of Church and State,1
3350,"The war in Iraq is not only morally wrong, but a terrible violation of American law.",War in Iraq,0
3351,"The hour has arrived to begin anew the Civil Rights Movement, this time for Health Care for All — both the preamble to the United States Constitution and Article 1 of Section 8 of the U.S. Constitution describe an originating purpose of our country: to promote the general welfare. Health care is a basic right in a democratic society, no more than the right to vote, once only granted to property owners.",Universal Health Care,0
3352,"Cannabis cigarettes a day are associated with the same evidence of acute and chronic bronchitis and the same degree of damage to the bronchial mucosa as 20 or more tobacco cigarettes a day. Cannabis smokes are likely to weaken the immune system. It also deposits four times as much tar on the respiratory tract as an unfiltered cigarette of the same weight. A number of studies have suggested a possible correlation between cannabis smoking and chronic obstructive pulmonary disease ; however,",Marijuana,1
3353,"Since its inception during the Great Depression, a strong minimum wage has been recognized as a key labor market institution that, if effectively maintained, can provide the foundation for equitable and adequate pay for American workers. In fact, the erosion of the minimum wage has made today’s low-wage workers significantly less than their counterparts 50 years ago, and it would provide tens of millions of America’s lowest-paid workers with a substantial, long-overdue improvement in their standard of living.",Minimum Wage Increase,1
3354,"DRE systems provide extensive backup capabilities for auditability, most systems include multiple redundant storage of voting records as well as audit trails DRE units generally do not produce paper receipts for voters, but can generate tapes and other hard copy representations of votes cast.",Voting Machines,0
3355,"It is the position of the Jewish Social Policy Action Network to oppose the death penalty as currently applied in the United States and to press for the immediate abolition of capital punishment... Our position is compelled by a moral imperative. Our belief is that the death penalty is immoral and constitutes an unconstitutional cruel and unusual punishment that is at odds with our best traditions, fosters a culture of violence and teaches our children the wrongheaded lesson that the way to settle scores is through violence, even to the",Death Penalty,0
3356,Our position on the question of alternative energy is clear : renewable energy can and must replace both fossil fuels and nuclear power as quickly as possible if the world is to avoid the catastrophic effects of runaway climate change. The remainder of the report outlines how we believe the world can embark on the path to a clean energy future within the current political and economic constraints.,Alternative Energy,1
3357,"By maintaining the separation of church and state the United States has avoided the intolerance that has divided the rest of the world with religious wars... Can anyone look at the carnage in Iran, bloodshed in Northern Ireland or bomb bursting in Lebanon... and yet question the dangers of injecting religious issues into the affairs of the state unless the decent people connected to them recognize that religion has no place in public policy. They must learn to communicate without trying to make their views the only alternatives... To retreat from that separation woul",Separation of Church and State,0
3358,"The term ‘homosexual gene’ is therefore without meaning unless one proposes that a specific gene, perhaps through a hormonal mechanism, organizes the brain specifically to support homosexuality.’",Sexuality is Genetic,0
3359,"Our ideas are men of ideas, not fanatics, we have never sowed hatred against the United States despite the aggressions of her government against us. Apart from the moral and political damage that this does, what hurts the most is the idea that one single American citizen could think that any harm would be waged against them on Cuban territory. Not a drop of blood has ever been dropped on any country in the world because of any terrorist act introduced from our country. “If it were not for that absurd an",US Embargo Against Cuba,1
3360,"The Logic and Accuracy (L&A) testing is the process by which voting equipment is configured, tested and certified for accuracy before an election. Each component is prepared and configured for recording votes accurately and the correct ballot styles are downloaded to the voting units to be used in the election. All test votes are cleared and the voting units are locked, sealed and secured ready to use in the election.",Voting Machines,1
3361,"I believe in the one-state solution as the only just and functional solution to the conflict, but I think anyone who is more than five minutes on the ground in the West Bank realises that there is no space for an independent Palestinian state there and moreover understands that only such a political outfit could respond to all aspects of the conflict : the dispossession of Palestinians in 1948, the discrimination against the Palestinians in Israel, and the occupation of the West Bank and the Gaza Strip.",Two-State Solution,1
3362,The Community Living Assistance Services and Supports Act (better known as CLASS Act) was a government long-term care insurance program that could not be financially stabilized and was eventually suspended.,Long Term Insurance is Offered in Health Insurance Exchanges,1
3363,"ACLU strongly believes this test is necessary to afford the greatest protection to free speech, especially political speech that is often harsh and mean-spirited. At the same time, the First Amendment may not be used as a shield by those who engage in acts of violence or issue threats of violence.",ACLU,0
3364,The phony argument that mentioning trust in God somehow establishes a state-sponsored religion is absurd and people shouldn't be afraid to admit what an overwhelming majority of the country already believes. Agencies like the ACLU have stripped even the mention of the word God from schools for too long.,Separation of Church and State,0
3365,"I am passionately opposed to travel restrictions because I feel they violate the American right to travel and are foolish; I am mildly opposed to the embargo because I think it is foolish, we have employed it for decades and it has not met its goal of bringing down a despotic regime.”",US Embargo Against Cuba,1
3366,"Overwhelming scientific consensus says human activity is responsible for global climate change  The 2010 Anderegg study found that 97-98% of climate scientists most active in their field agree that human activity is primarily responsible for global climate change. [1] A separate review of 13,950 peer-reviewed studies on climate change found only 24 that rejected human-caused global warming.  A separate survey in 2011 also found that 84% of the earth, space, atmospheric, ocean and hydrological scientists surveyed believe that humans are ",Humans Cause Climate Change,1
3367,"The pledge of allegiance does not constitute a religious belief in God, establish a religion or constitute a government endorsement of a religion. Rather, it is an affirmation of allegiance to a nation that describes itself as 'under God'.",Religious Undertones In Education,1
3368,"People have insurance that they cannot afford under Obamacare's'Choice' — rising premiums, unaffordable deductibles, lower taxes and more — that were to the American people in many places. This is not an affordable option when the number of Americans with only one insurer jumps from 2% to 17% in one year.",Obamacare,1
3369,The latest studies on diabetes show that vegetarians have lower blood pressure than nonvegetarians ; complex carbohydrates and fiber (which are found in plant foods only ) are high and low in fat ; a vegetarian diet helps prevent cancer ; vegetarians are less likely to have kidney stones or gallstones ; and vegetarians may also be at less risk of developing osteoporosis because they eat little or no animal protein.,Vegetarianism,0
3370,"The ban on doping should be lifted and whatever means athletes resort to when they want to improve their skill should be allowed. Those who are naturally weak should be allowed to improve their talents and complete successfully with those who have a natural advantage on them, and there will be other consequences in doing so : doping would be healthier and more efficient if hemoglobin could be monitored and measured openly, athletes would not be allowed to reach unhealthy levels.",Performance Enhancing Drugs,0
3371,"The Castro brothers are still at power in Havana. Five decades of economic sanctions have failed to bring about a democratic transformation of Cuba. The embargo has also served as a scapegoat to the regime. Ironically, a 2007 report by the Government Accountability Office points out that enforcing the embargo and travel ban diverts limited resources from homeland security which could be used to keep terrorists and criminals out of the United States.",US Embargo Against Cuba,1
3372,"Responsible consumer advertising has proven value in helping patients engage in more informed conversations with their healthcare providers, leading to better health outcomes. We also adhere to the PhRMA guidelines on direct-to-consumer (DTC) advertising about prescription drugs.",Prescription Drugs,1
3373,"The Bible says in Genesis 1:26 : And God said to them... Let them [human beings] have dominion over fish of the sea and fowl of the air and cattle and all earth and over every creepy thing that creeps upon the earth. [45] The BBC reports that Jewish, Christian and Muslim teaching allows for animal experimentation as long as there is no unnecessary pain inflicted and there is real benefit to humans [46]",Experimenting on Animals,0
3374,"The pledge was a purely patriotic exercise until Congress made it a patriotic and religious exercise in 1954. Millions of Americans who have no religious beliefs or who oppose religious-political entanglement were alienated by this change... Not all religious people agree with so-called 'generic' references to God that may not be shared by Buddhists, Hindus and others... The phrase 'under God' has obvious religious meanings. It is not disregarded merely because of repeated repetition.",Pledge of Allegiance,0
3375,"PPACA takes steps to limit the boundless profiteering that has become customary in the U.S. health care system. States will now receive two new tools to prevent health plans from gouging consumers. First, 46 states have received grants from the US Department of Health and Human Services to investigate premium rate increases. This funding will give states the resources to review the complicated actuarial explanations filed by insurance companies and to judge whether premium increases are justified. Additionally, plans will be required to devote a minimum",Obamacare,0
3376,"Felon disenfranchisement is obviously not a strategy of penal deterrence, for it deters no one; or individual rehabilitation, for it clearly educates and reforms no one; or even meaningful punishment, since it is not part of sentencing but imposed upon all convicts irrespective of the nature of their offense. Rather, it is a strategy of mass electoral suppression — a point that is especially vivid when we consider that 1.7 million former offenders in eight states have been",Voting Rights for Felons,0
3377,"The very form of the Declaration was that of traditional American prayer... Thomas Jefferson referred to God twice in Hebrew terms in that document and before agreeing to it, the Congress added two more Hebrew names... Lawgiver ('enamored by their Creator with certain inalienable rights') Judge ('Appealing to the Supreme Judge of the World for the Reliability of Our Intentions') and Providence ('with a firm trust that He willed the exercise of natural liberty for them and for",Separation of Church and State,1
3378,"Some 1,000 studies including those from the Surgeon General's office, the National Institute of Mental Health, and numerous studies conducted by leading medical and public health organizations - our own members - point overwhelmingly to the possibility of a causal connection between media violence and aggressive behavior in some children. [74] A 2014 study in Psychology of Popular Media Culture found that 90% of pediatricians and 67% of parents agreed or strongly agreed that violent video games increase aggression among children. [62] Further, since only 17% of researchers disagreed or strongly",Video Games,0
3379,"We are ultimately up to us with regards to personal protection — that’s why I own a gun — that’s why I have a concealed carry permit — and that’s why tens of millions of Americans have concealed carry permits — it’s common sense — a concealed carry permit should work in every state — that is, if we can do that for driving — which is a right, not a privilege —",Guns,1
3380,"Several students had written a fiery editorial about e-textbooks early in the school year – where they said that they liked the idea of a free Kindle with all their books loaded or their old textbooks – and can retain facts more easily. (Several students did say that they don’t like carrying heavy books... and not want to steal them, unlike a Kindle.)",Tablets Over Textbooks,0
3381,"As a physician, I have always searched for treatment options for my patients’ chronic pain until Florida passed the medical marijuana initiative with an astonishing 71.3 percent majority in 2016. With research however, I learned that marijuana not only has multiple potential medical uses, but also fewer side effects compared to other medications like anxiety, depression and insomnia.",Medical Marijuana,1
3382,"Calling the proposed state health insurance exchanges'marketplaces'is nothing but a veiled attempt to describe a system that is nothing but free... The reality is that the exchanges will be connected to different federal agencies and a wide variety of federal agencies — including the Department of Justice, the Department of Defense, the IRS, the Social Security Administration and the Department of Health and Human Services — that will share citizens' data without consent. The federal government will use an individual's income, tax, employment",Health Insurance Exchanges,0
3383,"Sadly, a new report by the Federal Government Accountability Office (GAO) revealed that the Obama administration has utterly failed to keep its promises to prevent taxpayer funds from being used for abortion coverage in state exchanges —'separate payments' are required — and a'separate payment' should be for everything else — with issuers filing'segregation plans' with their state health-insurance commissioners who explained how they would maintain the integrity of taxpayer money. At",Obamacare,0
3384,"There is now a high risk that the world's supply of both oil and gas is approaching its highest sustained peak of supply...rosy projections, like those of the US Energy Information Administration, suggest that oil production is unlikely to peak for several decades despite advanced recovery techniques... It is evident that the peak is imminent with five years of negligible production growth and lower quality new oil. Projections by the Association for the Study of Peak Oil and Gas project the peak in 2008.",Oil Production at its Peak,0
3385,"The current social security program will become insolvent by 2034, so a better system is urgently needed. Due to an aging population and a lower birth rate, the ratio of workers to retirees is shrinking, thereby reducing the funds available for future retirees. According to the 2015 Social Security Trustees' Report, the trust funds will run out of money by 2034. A better solution is to switch to personal retirement accounts that would be funded with existing payroll taxes.",Privatized Social Security,0
3386,"There is ample space for many Jews, many Palestinians and peaceful coexistence in Judea and Samaria after 20 years of failed attempts to achieve a two-state solution. The time has come to invest in new, innovative paths to peace that unite people through acts of mutual respect.",Two-State Solution,1
3387,"Just as every other industrialized nation has figured out how to provide health care to all their citizens and how to get drug manufacturers to negotiate the prices of their products, each of those countries (with the exception of New Zealand) also bans direct prescription advertising for prescription drugs — or even worse — than older, unadvertised generic drugs.",Prescription Drugs,1
3388,"In this light, the provisions requiring a 'paper record' to be used for a'manual audit of the 'voting system' are evident that HAVA requires a paper record that is seen, verified and turned in by the voter - at best a partial audit of the complete voting system - and that is the critical issue...",Voter Verified Paper Audit Trails,1
3389,"There are school uniforms to make getting ready for school easier, which can improve punctuality. When uniforms are mandatory, parents and students do not spend time choosing appropriate outfits for the day. According to a national survey, over 90% of US school leaders believe that school uniform policies eliminate wardrobe affronts with kids, make it easier to get kids ready in the morning and create a time saving in the morning. Lyndhurst student Mike Morreale agreed, stating that it's much easier to dress than",School Uniforms,0
3390,"In 1981, when inflation was 10.3%, Congress authorized a US gold commission to study returning to the gold standard as a way to reduce inflation. The commission concluded that restoring a gold standard does not appear to be a fruitful way of dealing with the continuing inflation problem. By 1983, the growth in consumer prices had already cut to 3.2% from a high of 13.5% in 1980.",Gold Standard Currency,1
3391,"According to a 2015 report from the National Low Income Housing Coalition, a worker must earn a minimum wage of $15.50 an hour (over twice the federal minimum wage) to afford to rent a one- or two-bedroom apartment. In 2015 in California, even a person earning the then state minimum wage of $9 an hour would need to work 92 hours a week to afford to rent a one-bedroom apartment. A living wage includes housing costs for one person with no dependents is estimated to be $9.",Minimum Wage Increase,1
3392,"On the basis of the literature and studies available today, I find myself in agreement with the conclusions drawn by the Royal Commission [Report on Capital Punishment, 1949-1953] following its exhaustive study of this issue : 'Primarily, the death penalty is likely to have a stronger effect as a deterrent to normal human beings than any other form of punishment and there is some evidence (though there is no convincing statistical evidence) that this is indeed so.",Death Penalty,0
3393,"A right to health care could cause people to overuse health care resources. If people receive universal health care and are not directly responsible for the costs of medical services, they may use more health resources than necessary, a phenomenon known as moral hazard. By 1975 people living in poverty who had access to Medicaid saw doctors 18% more often than people who were not on Medicaid. This fact is even though they already had guaranteed access to emergency treatment under federal law.",Universal Health Care,1
3394,"Indigenous peoples (known as First Nations) in Canada are taking the lead to stop the largest industrial project on Mother Earth: the Tar Sands Gigaproject Northern Alberta is ground zero with over 20 corporations in the tar sands - sacrifice zone - with extended developments being planned. The cultural heritage, land, ecosystems and human health of First Nation communities are ruined in what has been termed a'slow industrial genocide'. Today the Tar sands have become a topic of",Oil Imports,1
3395,"For the first time in the long history of fossil fuel use, the Department of Energy's Clean Coal Program is transforming America into a future in which power from our most abundant and lowest cost resource is pollution-free. Imagine a future in which we no longer have concerns about the effects of power and fuels production on the global climate of our children or their children. Imagine a future in which America's energy security is strengthened by replacing increasing amounts of imported oil with clean-burning, affordable fuels from plentiful resources within",Alternative Energy,1
3396,"The physiological significance of this observation and its potential therapeutic value are obscuring by the fact that some asthmatic patients respond to these compounds with a paradoxical bronchospasm [constrictions of the air passages of the lung], but when the constricting tone is removed from the vagus nerve.",Medical Marijuana,0
3397,"A America's insatiable appetite for the good energy the world delivers could not be satisfied by fossil fuels alone. Hydroelectric power, a renewable source of energy created by the damming of rapidly flowing rivers, was introduced in the 1890s, as was nuclear power in the late 1950s. In recent years, other renewable sources of energy have entered the fray – wind, solar, biomass, and geothermal – but their overall contribution to America's energy pool is forecast by the EI",Alternative Energy,1
3398,The NAACP remains resolutely opposed to the death penalty... The government’s claim to moral authority to get the ultimate punishment is based on the belief that the punishment will be administered fairly and evenhandedly but even a cursory review of the death penalty at both the federal and state levels indicates that this is false.,Death Penalty,1
